panel_order	cell_type_coarse_crc_atlas	reference_cells	unexpected_support	unexpected_support_fraction	dataset	sample_id	analysis_patient_id
19	Myeloid cell	114	2	0.017543859649122806	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T4	Liu_2024_Cancer_Res.Pt08
19	NK	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T4	Liu_2024_Cancer_Res.Pt08
19	Plasma cell	40	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T4	Liu_2024_Cancer_Res.Pt08
19	T cell	140	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt08_T4	Liu_2024_Cancer_Res.Pt08
20	B cell	20	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt11_T1	Liu_2024_Cancer_Res.Pt11
20	Mast cell	3	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt11_T1	Liu_2024_Cancer_Res.Pt11
20	Myeloid cell	65	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt11_T1	Liu_2024_Cancer_Res.Pt11
20	NK	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt11_T1	Liu_2024_Cancer_Res.Pt11
20	Neutrophil	36	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt11_T1	Liu_2024_Cancer_Res.Pt11
20	Plasma cell	87	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt11_T1	Liu_2024_Cancer_Res.Pt11
20	T cell	87	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt11_T1	Liu_2024_Cancer_Res.Pt11
21	B cell	5	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt11_T2	Liu_2024_Cancer_Res.Pt11
21	Mast cell	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt11_T2	Liu_2024_Cancer_Res.Pt11
21	Myeloid cell	42	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt11_T2	Liu_2024_Cancer_Res.Pt11
21	NK	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt11_T2	Liu_2024_Cancer_Res.Pt11
21	Plasma cell	12	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt11_T2	Liu_2024_Cancer_Res.Pt11
21	T cell	238	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt11_T2	Liu_2024_Cancer_Res.Pt11
22	B cell	62	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt15_T1	Liu_2024_Cancer_Res.Pt15
22	ILC	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt15_T1	Liu_2024_Cancer_Res.Pt15
22	Mast cell	18	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt15_T1	Liu_2024_Cancer_Res.Pt15
22	Myeloid cell	13	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt15_T1	Liu_2024_Cancer_Res.Pt15
22	NK	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt15_T1	Liu_2024_Cancer_Res.Pt15
22	Plasma cell	11	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt15_T1	Liu_2024_Cancer_Res.Pt15
22	T cell	193	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt15_T1	Liu_2024_Cancer_Res.Pt15
23	B cell	3	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt15_T2	Liu_2024_Cancer_Res.Pt15
23	Mast cell	16	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt15_T2	Liu_2024_Cancer_Res.Pt15
23	Myeloid cell	126	1	0.007936507936507936	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt15_T2	Liu_2024_Cancer_Res.Pt15
23	NK	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt15_T2	Liu_2024_Cancer_Res.Pt15
23	Plasma cell	54	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt15_T2	Liu_2024_Cancer_Res.Pt15
23	T cell	100	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt15_T2	Liu_2024_Cancer_Res.Pt15
24	B cell	16	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt18_T1	Liu_2024_Cancer_Res.Pt18
24	Mast cell	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt18_T1	Liu_2024_Cancer_Res.Pt18
24	Myeloid cell	139	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt18_T1	Liu_2024_Cancer_Res.Pt18
24	NK	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt18_T1	Liu_2024_Cancer_Res.Pt18
24	Neutrophil	41	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt18_T1	Liu_2024_Cancer_Res.Pt18
24	Plasma cell	12	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt18_T1	Liu_2024_Cancer_Res.Pt18
24	T cell	89	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt18_T1	Liu_2024_Cancer_Res.Pt18
25	B cell	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt18_T2	Liu_2024_Cancer_Res.Pt18
25	ILC	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt18_T2	Liu_2024_Cancer_Res.Pt18
