system	sample_id	definition	peak_count	peak_path
patient	TCGA-93-A4JQ	cpm0.5_both_reps	137265	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-93-A4JQ.bed.gz
patient	TCGA-93-A4JQ	cpm1_both_reps	132075	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-93-A4JQ.bed.gz
patient	TCGA-93-A4JQ	cpm2_both_reps	109513	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-93-A4JQ.bed.gz
patient	TCGA-93-A4JQ	cpm1_merged_reps	136861	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-93-A4JQ.bed.gz
patient	TCGA-L4-A4E6	cpm0.5_both_reps	128106	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-L4-A4E6.bed.gz
patient	TCGA-L4-A4E6	cpm1_both_reps	114032	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-L4-A4E6.bed.gz
patient	TCGA-L4-A4E6	cpm2_both_reps	94367	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-L4-A4E6.bed.gz
patient	TCGA-L4-A4E6	cpm1_merged_reps	118998	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-L4-A4E6.bed.gz
patient	TCGA-L9-A8F4	cpm0.5_both_reps	131940	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-L9-A8F4.bed.gz
patient	TCGA-L9-A8F4	cpm1_both_reps	114402	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-L9-A8F4.bed.gz
patient	TCGA-L9-A8F4	cpm2_both_reps	89878	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-L9-A8F4.bed.gz
patient	TCGA-L9-A8F4	cpm1_merged_reps	120209	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-L9-A8F4.bed.gz
patient	TCGA-MP-A4SV	cpm0.5_both_reps	137119	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-MP-A4SV.bed.gz
patient	TCGA-MP-A4SV	cpm1_both_reps	130058	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-MP-A4SV.bed.gz
patient	TCGA-MP-A4SV	cpm2_both_reps	106837	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-MP-A4SV.bed.gz
patient	TCGA-MP-A4SV	cpm1_merged_reps	135045	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-MP-A4SV.bed.gz
patient	TCGA-MP-A4T4	cpm0.5_both_reps	137039	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-MP-A4T4.bed.gz
patient	TCGA-MP-A4T4	cpm1_both_reps	127386	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-MP-A4T4.bed.gz
patient	TCGA-MP-A4T4	cpm2_both_reps	103124	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-MP-A4T4.bed.gz
patient	TCGA-MP-A4T4	cpm1_merged_reps	134283	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-MP-A4T4.bed.gz
patient	TCGA-MP-A4T7	cpm0.5_both_reps	126924	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-MP-A4T7.bed.gz
patient	TCGA-MP-A4T7	cpm1_both_reps	110429	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-MP-A4T7.bed.gz
patient	TCGA-MP-A4T7	cpm2_both_reps	88366	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-MP-A4T7.bed.gz
patient	TCGA-MP-A4T7	cpm1_merged_reps	117692	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-MP-A4T7.bed.gz
patient	TCGA-MP-A4TE	cpm0.5_both_reps	124383	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-MP-A4TE.bed.gz
patient	TCGA-MP-A4TE	cpm1_both_reps	112012	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-MP-A4TE.bed.gz
patient	TCGA-MP-A4TE	cpm2_both_reps	96015	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-MP-A4TE.bed.gz
patient	TCGA-MP-A4TE	cpm1_merged_reps	115216	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-MP-A4TE.bed.gz
patient	TCGA-MP-A4TF	cpm0.5_both_reps	131912	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-MP-A4TF.bed.gz
patient	TCGA-MP-A4TF	cpm1_both_reps	119610	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-MP-A4TF.bed.gz
patient	TCGA-MP-A4TF	cpm2_both_reps	97286	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-MP-A4TF.bed.gz
patient	TCGA-MP-A4TF	cpm1_merged_reps	125150	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-MP-A4TF.bed.gz
patient	TCGA-NJ-A4YG	cpm0.5_both_reps	135793	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-NJ-A4YG.bed.gz
patient	TCGA-NJ-A4YG	cpm1_both_reps	125341	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-NJ-A4YG.bed.gz
patient	TCGA-NJ-A4YG	cpm2_both_reps	103077	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-NJ-A4YG.bed.gz
patient	TCGA-NJ-A4YG	cpm1_merged_reps	130628	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-NJ-A4YG.bed.gz
