TF	NES	size	p.value	FDR
OLIG1	1.88376399505867	13	0.0595969057788822	0.802271597924428
SIX1	1.88284690062101	2	0.0597211189838542	0.802271597924428
ID3	-1.8816360501493	45	0.0598854479940248	0.802271597924428
ETS1	1.88121304442944	21	0.0599429439838836	0.802271597924428
ZNF570	-1.8764251431108	8	0.060596924740344	0.802271597924428
ZNF571	-1.87565044009772	2	0.0607032953761533	0.802271597924428
PDX1	1.87400752476314	43	0.0609293879782725	0.802271597924428
ZNF521	1.86890440027478	19	0.0616361160213697	0.802271597924428
ZMIZ1	1.86646283533335	27	0.0619766390310391	0.802271597924428
RHOXF2	-1.86423538409137	23	0.0622886563760916	0.802271597924428
ZNF333	1.862236393313	5	0.0625697767042533	0.802271597924428
CLOCK	1.85989776132598	14	0.0628999921449626	0.802271597924428
SS18L2	-1.84550121096498	88	0.0649646625021233	0.806549546739809
SPEN	1.84037747360211	29	0.065712838292677	0.806549546739809
TBX1	1.83862885846266	6	0.0659697936613033	0.806549546739809
TWIST2	1.83472002969106	17	0.0665471829480382	0.806549546739809
JUND	-1.83374873194884	5	0.0666913011650601	0.806549546739809
LRP5	1.82948304940603	54	0.0673272763389507	0.806549546739809
CREB3L2	1.82608409790695	10	0.0678375951542777	0.806549546739809
L3MBTL4	-1.82411989866288	17	0.0681339478551161	0.806549546739809
ZNF407	1.82296191564844	19	0.0683091592204892	0.806549546739809
NR2F2	1.81972794187702	11	0.0688004459423413	0.806549546739809
FGF1	1.81911342211196	9	0.0688941277455433	0.806549546739809
MEF2C	-1.8074450607225	14	0.0706929134837041	0.806549546739809
MITF	1.806783563712	13	0.0707960324242125	0.806549546739809
SP7	1.80237110114143	14	0.0714870387803472	0.806549546739809
MAGEA11	-1.8016941476854	47	0.0715935393592405	0.806549546739809
MEOX2	1.80161023156383	14	0.0716067503760601	0.806549546739809
ZNF680	-1.79726416990451	5	0.0722936915336396	0.806549546739809
PTF1A	-1.79721796299797	15	0.0723010239139704	0.806549546739809
ZFP92	1.79526228793872	7	0.0726119205259874	0.806549546739809
HOXC6	1.79088479816925	20	0.073311783649203	0.806549546739809
ZFHX2	1.7886154630178	6	0.0736767658319086	0.806549546739809
NKX6-3	-1.7879681780383	74	0.0737811420160817	0.806549546739809
