TF	NES	p_value	FDR	regulon_size	logFC	AveExpr	t	P.Value	adj.P.Val	B	category
ASCL4	-2.14452118148174	0.031991150108818	0.106147548229937	93	-1.46977011042024	-4.66948964662712	-11.2416072735033	1.00174794612391e-27	8.76356178335137e-27	51.8401386456107	VIPER Significant
ASCL5	3.35635039140849	0.000789784383262618	0.0133545359351679	89	0.848495742651705	-1.14533942471123	8.09049175330549	1.67589394154146e-15	8.3804568549297e-15	23.9631180631192	LUAD
ASH1L	1.15670717997629	0.247392015240458	0.405580178831713	68	0.193893345454692	6.33489536130856	4.48165001029299	8.24356706560717e-06	1.38673099897483e-05	1.48645990494216	Non-Significant
ASXL1	-0.174461044060725	0.861503143565021	0.923813119357459	41	0.0915543743003884	6.28275347997656	2.65914317982962	0.00795653769505085	0.0103548423363289	-4.93251732403061	Non-Significant
ASXL2	-1.25581817836641	0.20918189925626	0.363104514634395	120	-0.183882005571101	5.74926225063939	-5.32697168529998	1.2283495251335e-07	2.43404892397828e-07	5.60673704419777	Non-Significant
ASXL3	1.28169095821295	0.199951078008415	0.351460400004483	98	0.649669276090727	-0.994726687825413	5.54765091169107	3.68784360794307e-08	7.6918953421744e-08	7.40941962106136	VIPER Significant
ATAD2	-2.61870693308697	0.00882637399068499	0.0439385916908552	102	-0.723453544290575	5.73207277244168	-13.2469171191794	4.44181096268952e-37	5.59481772106295e-36	72.6109172347595	LUSC
ATAD2B	-1.16563520954914	0.243761965864325	0.401741718485314	115	-0.247191817875144	4.31923516242649	-6.46307010581977	1.58612389703321e-10	4.35535462660532e-10	12.2403745313882	Non-Significant
ATF1	-0.576137132516225	0.564522494532387	0.71385230149151	70	-0.118717129102318	4.71462815808265	-3.56410027512611	0.000381989934891302	0.000557738528802374	-1.96347596202887	Non-Significant
ATF2	1.22098767481894	0.222090686434778	0.378177225198052	54	0.14657135567397	5.69449006224403	5.60068335870643	2.74410774159921e-08	5.79736537950216e-08	7.06669183766645	Non-Significant
ATF3	-1.11185289302958	0.266201405608994	0.428519335858381	81	-0.345965070260524	5.3842820420112	-4.42906883583135	1.04839584470762e-05	1.74831686674823e-05	1.36686983574357	Non-Significant
ATF4	-3.13836196171765	0.00169894935789672	0.0165526208869366	98	-0.388200987337248	8.18034583196558	-11.8786550961252	1.41873071695524e-30	1.39195823537229e-29	57.4315126277623	LogFC Non-Significant
ATF5	-0.383360293180238	0.701452640010351	0.819691569707477	35	-0.610920655799797	5.37754753556174	-10.2961643106608	1.01056092127517e-23	7.51058077396444e-23	42.0998942381899	VIPER Significant
ATF6	1.83747402656035	0.0661399473874851	0.170002930093963	63	0.2485777931327	6.40192073148254	8.49367245560235	6.99393904814428e-17	3.76987588039973e-16	26.4008068131086	Non-Significant
ATF6B	0.734601663675125	0.46258212449733	0.623316971253915	26	0.131243427953225	6.53058970774347	4.03015431954415	5.98789754958864e-05	9.36034268937826e-05	-0.426055999699759	Non-Significant
ATF7	1.06753561877006	0.285730038339777	0.448659753218099	29	0.154345105927279	4.97283234042279	5.53637721515463	3.92574826795459e-08	8.16174931149375e-08	6.79955076944419	Non-Significant
ATF7IP	-0.123465530866121	0.901738467800419	0.948094562653436	25	-0.100639791434465	6.53387401978153	-2.89947770418667	0.00381787983128665	0.00510979561132093	-4.2995098735432	Non-Significant
