depmap_id	cell_line_name	stripped_cell_line_name	cell_line	aliases	cosmic_id	sex	source	RRID	WTSI_master_cell_ID	sample_collection_site	primary_or_metastasis	primary_disease	subtype_disease	age	sanger_id	additional_info	lineage	lineage_subtype	lineage_sub_subtype	lineage_molecular_subtype	default_growth_pattern	model_manipulation	model_manipulation_details	patient_id	parent_depmap_id	Cellosaurus_NCIt_disease	Cellosaurus_NCIt_id	Cellosaurus_issues	group	sample_id	system
ACH-000563	EBC-1	EBC1	EBC1_LUNG	""	753554	Male	DepMap_22Q2	CVCL_2891	1665	skin	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	69	SIDM00486	""	lung	NSCLC	NSCLC_squamous		2D: adherent			PT-YTpbR2	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000563	cell_line
ACH-000575	""	HCC364	HCC364_LUNG	""		Male	DepMap_22Q2	CVCL_5134		lung	""	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	76	""	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-Gfa8CF	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000575	cell_line
ACH-000578	HCC-1171	HCC1171	HCC1171_LUNG	""		Male	DepMap_22Q2	CVCL_5126		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	58	""	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-JbQXVN	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000578	cell_line
ACH-000585	EPLC-272H	EPLC272H	EPLC272H_LUNG	""	753556	Male	DepMap_22Q2	CVCL_1197	404	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	57	SIDM01044	""	lung	NSCLC	NSCLC_squamous		2D: adherent			PT-HU0uli	""	Lung mucoepidermoid carcinoma	C45544	""	LUSC	ACH-000585	cell_line
ACH-000587	NCI-H1975	NCIH1975	NCIH1975_LUNG	""	924244	Female	DepMap_22Q2	CVCL_1511	1403	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	""	SIDM00759	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-HkdFKw	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000587	cell_line
ACH-000589	NCI-H1437	NCIH1437	NCIH1437_LUNG	""	687794	Male	DepMap_22Q2	CVCL_1472	800	pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	60	SIDM00734	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-KKsvGZ	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000589	cell_line
ACH-000590	NCI-H2073	NCIH2073	NCIH2073_LUNG	""		Female	DepMap_22Q2	CVCL_1521		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	47	SIDM00757	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-v8h3uk	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000590	cell_line
ACH-000638	NCI-H441	NCIH441	NCIH441_LUNG	""	908460	Male	DepMap_22Q2	CVCL_1561	1815	pericardial_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	33	SIDM00925	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-xglezn	""	Lung papillary adenocarcinoma	C5650	""	LUAD	ACH-000638	cell_line
ACH-000665	SK-MES-1	SKMES1	SKMES1_LUNG	""	909728	Male	DepMap_22Q2	CVCL_0630	1628	pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	65	SIDM01103	""	lung	NSCLC	NSCLC_squamous		2D: adherent			PT-41lHFE	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000665	cell_line
ACH-000666	NCI-H1355	NCIH1355	NCIH1355_LUNG	""	724866	Male	DepMap_22Q2	CVCL_1464	1780	pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	53	SIDM00645	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-ELrBOm	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000666	cell_line
