Drug_TR	dataset_n
CID:31789_FOXD2_Positive_Correlated_CI_Significant	1
CID:104842_ZNF678_Positive_Correlated_CI_Significant	1
CID:16718576_ZNF254_Negative_Correlated_CI_Significant	1
CID:11178236_FOXA3_Negative_Correlated_CI_Significant	1
CID:73549_ZNF444_Positive_Correlated_CI_Significant	1
CID:16736978_NFATC4_Negative_Correlated_CI_Significant	1
CID:9804992_ZNF254_Negative_Correlated_CI_Significant	1
CID:25102847_ZNF33A_Negative_Correlated_CI_Significant	1
CID:51042438_E2F5_Negative_Correlated_CI_Significant	1
CID:11199742_WWC2_Negative_Correlated_CI_Significant	1
CID:5282493_ABHD14B_Positive_Correlated_CI_Significant	1
CID:51038269_XBP1_Negative_Correlated_CI_Significant	1
CID:153241_WWC2_Negative_Correlated_CI_Significant	1
CID:4038180_ZNF117_Positive_Correlated_CI_Significant	1
CID:11707110_ZNF678_Negative_Correlated_CI_Significant	1
CID:10367662_E2F5_Positive_Correlated_CI_Significant	1
CID:30751_WWC2_Negative_Correlated_CI_Significant	1
CID:11647372_ZNF444_Negative_Correlated_CI_Significant	1
CID:6445533_ZNF254_Negative_Correlated_CI_Significant	1
CID:5455_PHC2_Negative_Correlated_CI_Significant	1
CID:400772_ZNF254_Negative_Correlated_CI_Significant	1
CID:6197_NR3C2_Negative_Correlated_CI_Significant	1
NAME:CPP_FOXA3_Positive_Correlated_CI_Significant	1
CID:44607531_NCOA7_Negative_Correlated_CI_Significant	1
CID:58573469_ZNF254_Negative_Correlated_CI_Significant	1
CID:443390_ZNF75D_Positive_Correlated_CI_Significant	1
CID:240980_WWC2_Negative_Correlated_CI_Significant	1
CID:11703255_ABHD14B_Positive_Correlated_CI_Significant	1
CID:16736978_ZNF540_Negative_Correlated_CI_Significant	1
CID:443390_ZNF341_Positive_Correlated_CI_Significant	1
CID:2747117_NR3C2_Positive_Correlated_CI_Significant	1
CID:11538455_ZNF254_Negative_Correlated_CI_Significant	1
CID:131634633_ZNF678_Negative_Correlated_CI_Significant	1
CID:54675783_ZNF254_Negative_Correlated_CI_Significant	1
CID:2747117_ZNF281_Positive_Correlated_CI_Significant	1
CID:20279_ZNF281_Negative_Correlated_CI_Significant	1
CID:4261_ZNF254_Negative_Correlated_CI_Significant	1
CID:2747117_CREB3L2_Positive_Correlated_CI_Significant	1
CID:156414_CREBRF_Negative_Correlated_CI_Significant	1
CID:3342_ZNF19_Positive_Correlated_CI_Significant	1
CID:24786555_ETV1_Positive_Correlated_CI_Significant	1
CID:44462760_PHC2_Positive_Correlated_CI_Significant	1
CID:16736529_ZNF254_Negative_Correlated_CI_Significant	1
CID:16666708_ZNF678_Negative_Correlated_CI_Significant	1
CID:3035454_ETV1_Negative_Correlated_CI_Significant	1
CID:25295_ZNF341_Positive_Correlated_CI_Significant	1
CID:44462760_FOXD2_Positive_Correlated_CI_Significant	1
CID:18924996_FOXD2_Positive_Correlated_CI_Significant	1
CID:104920_ZNF254_Negative_Correlated_CI_Significant	1
CID:5166_ZNF254_Negative_Correlated_CI_Significant	1
CID:20279_ETV1_Positive_Correlated_CI_Significant	1
CID:59239165_ZNF444_Negative_Correlated_CI_Significant	1
CID:509554_CREBRF_Positive_Correlated_CI_Significant	1
CID:56599293_ZNF678_Negative_Correlated_CI_Significant	1
CID:46213929_ZNF117_Positive_Correlated_CI_Significant	1
CID:65399_ZNF444_Positive_Correlated_CI_Significant	1
CID:3117_FOXD2_Negative_Correlated_CI_Significant	1
CID:10275789_ZNF254_Negative_Correlated_CI_Significant	1
CID:10461815_ZNF117_Positive_Correlated_CI_Significant	1
CID:5327723_ELF3_Positive_Correlated_CI_Significant	1
CID:753704_ELF3_Positive_Correlated_CI_Significant	1
CID:3342_ELF3_Positive_Correlated_CI_Significant	1
CID:59604787_ZNF19_Negative_Correlated_CI_Significant	1
CID:54675769_ZNF678_Negative_Correlated_CI_Significant	1
CID:460612_WWC2_Negative_Correlated_CI_Significant	1
CID:51038269_ZNF254_Negative_Correlated_CI_Significant	1
CID:46912230_ZNF19_Negative_Correlated_CI_Significant	1
CID:9850876_ETV1_Negative_Correlated_CI_Significant	1
CID:11511120_NCOA7_Negative_Correlated_CI_Significant	1
CID:24958200_ETV1_Positive_Correlated_CI_Significant	1
CID:10184653_FOXD2_Positive_Correlated_CI_Significant	1
CID:23725625_ETV1_Positive_Correlated_CI_Significant	1
CID:16718576_ETV1_Positive_Correlated_CI_Significant	1
CID:5310988_ZNF540_Negative_Correlated_CI_Significant	1
CID:11620908_ZNF254_Negative_Correlated_CI_Significant	1
CID:24197464_MAGED2_Negative_Correlated_CI_Significant	1
CID:135565545_ELF3_Positive_Correlated_CI_Significant	1
CID:5083_FOXD2_Positive_Correlated_CI_Significant	1
CID:2250974_MAGED2_Negative_Correlated_CI_Significant	1
CID:6450531_CREBRF_Positive_Correlated_CI_Significant	1
CID:6918670_FOXD2_Positive_Correlated_CI_Significant	1
CID:9799508_FOXD2_Positive_Correlated_CI_Significant	1
CID:44631912_CRY2_Negative_Correlated_CI_Significant	1
CID:20279_WWC2_Negative_Correlated_CI_Significant	1
CID:11214940_ZNF117_Positive_Correlated_CI_Significant	1
CID:25229526_NFATC4_Negative_Correlated_CI_Significant	1
CID:25183872_XBP1_Negative_Correlated_CI_Significant	1
CID:100802_CSRNP1_Positive_Correlated_CI_Significant	1
CID:15547703_ZNF341_Positive_Correlated_CI_Significant	1
CID:24826799_ZNF444_Negative_Correlated_CI_Significant	1
CID:24739943_ETV1_Positive_Correlated_CI_Significant	1
CID:3795_ZNF254_Negative_Correlated_CI_Significant	1
CID:2747117_CSRNP1_Positive_Correlated_CI_Significant	1
CID:42890_ETV1_Positive_Correlated_CI_Significant	1
CID:49784945_NFATC4_Negative_Correlated_CI_Significant	1
CID:10184653_WWC2_Negative_Correlated_CI_Significant	1
CID:356653_CRY2_Negative_Correlated_CI_Significant	1
CID:6185_ZNF281_Positive_Correlated_CI_Significant	1
CID:2747117_MAGED2_Positive_Correlated_CI_Significant	1
CID:57519748_ZNF33B_Positive_Correlated_CI_Significant	1
CID:657237_ZNF75D_Negative_Correlated_CI_Significant	1
CID:6445533_WWC2_Negative_Correlated_CI_Significant	1
CID:11977753_NCOA7_Positive_Correlated_CI_Significant	1
CID:2723601_ZNF19_Negative_Correlated_CI_Significant	1
CID:2747117_ZNF75D_Positive_Correlated_CI_Significant	1
CID:6445562_ZNF33B_Negative_Correlated_CI_Significant	1
CID:11315474_ZNF444_Positive_Correlated_CI_Significant	1
CID:4212_ZNF444_Negative_Correlated_CI_Significant	1
CID:100802_NCOA7_Positive_Correlated_CI_Significant	1
CID:135564985_ZNF254_Negative_Correlated_CI_Significant	1
