dataset	canonical_drug
CTRPv2	CID:2949965
CTRPv2	CID:24771867
CTRPv2	CID:10077130
CTRPv2	CID:3689413
CTRPv2	NAME:UNC063841
CTRPv2	CID:6184667
CTRPv2	CID:5311
CTRPv2	CID:1242560
CTRPv2	NAME:GDC094141
CTRPv2	CID:5978
CTRPv2	CID:3503
CTRPv2	NAME:PLX403281
CTRPv2	CID:56649450
CTRPv2	NAME:PLX4032121
CTRPv2	NAME:UNC063821
CTRPv2	CID:72199292
CTRPv2	CID:2729026
CTRPv2	CID:375860
CTRPv2	CID:156414
CTRPv2	CID:51037431
CTRPv2	CID:5353562
CTRPv2	NAME:JQ111
CTRPv2	NAME:T
CTRPv2	CID:122388991
CTRPv2	CID:2742550
CTRPv2	CID:46930998
CTRPv2	CID:5702613
CTRPv2	CID:65064
CTRPv2	NAME:BRDK24690302
CTRPv2	CID:11152667
CTRPv2	CID:11497983
CTRPv2	CID:1566236
CTRPv2	NAME:BRDA94377914
CTRPv2	CID:24197464
CTRPv2	NAME:BRDK45681478
CTRPv2	NAME:BRDA0230374141
CTRPv2	CID:11213558
CTRPv2	CID:6505803
CTRPv2	CID:2828334
CTRPv2	CID:24135
CTRPv2	NAME:BRDK97651142
CTRPv2	CID:5212
CTRPv2	CID:6917907
CTRPv2	CID:11507802
CTRPv2	NAME:BRDK33199242
CTRPv2	NAME:SCH52907411
CTRPv2	CID:676352
CTRPv2	CID:10322450
CTRPv2	CID:25102847
CTRPv2	NAME:JQ141
CTRPv2	CID:5426
CTRPv2	NAME:21
CTRPv2	NAME:BRDK13999467
CTRPv2	CID:71304818
CTRPv2	CID:568763
CTRPv2	NAME:BRDK2718816921
CTRPv2	NAME:PF184
CTRPv2	CID:44607530
CTRPv2	CID:46843906
CTRPv2	CID:9826308
CTRPv2	NAME:MK220681
CTRPv2	CID:7326481
CTRPv2	NAME:ISOX
CTRPv2	CID:11656518
CTRPv2	CID:984333
CTRPv2	NAME:FQI2
CTRPv2	CID:53495165
CTRPv2	CID:2749
CTRPv2	CID:25161177
CTRPv2	CID:10390396
CTRPv2	NAME:ELCPK
CTRPv2	CID:57458948
CTRPv2	CID:2126
CTRPv2	CID:23725625
CTRPv2	NAME:BRDK85133207
CTRPv2	CID:441298
CTRPv2	CID:1239801
CTRPv2	CID:11955716
CTRPv2	NAME:BRD1812
CTRPv2	CID:3081361
CTRPv2	CID:11719255
CTRPv2	CID:5281321
CTRPv2	CID:54678924
CTRPv2	NAME:C7
CTRPv2	NAME:HBX41108
CTRPv2	CID:54613361
CTRPv2	NAME:BRDK70511574
CTRPv2	NAME:BRD1835
CTRPv2	CID:3025986
CTRPv2	NAME:UNC063811
CTRPv2	NAME:MST31211
CTRPv2	CID:6918289
CTRPv2	CID:23939
CTRPv2	CID:9825149
CTRPv2	CID:159324
CTRPv2	NAME:C23
CTRPv2	CID:5113032
CTRPv2	CID:9884685
CTRPv2	NAME:BRDK11533227
CTRPv2	CID:11640390
CTRPv2	CID:5328940
CTRPv2	CID:82146
CTRPv2	CID:5351180
CTRPv2	NAME:NPC26
CTRPv2	CID:3854666
CTRPv2	CID:53393948
CTRPv2	CID:4705
CTRPv2	NAME:BRDK99584050
CTRPv2	CID:2758573
CTRPv2	CID:46943432
CTRPv2	CID:49867926
CTRPv2	NAME:2501
CTRPv2	CID:19582717
CTRPv2	NAME:JQ1MK075211
CTRPv2	CID:9549297
CTRPv2	CID:11167602
CTRPv2	CID:10184653
CTRPv2	NAME:YK4279
CTRPv2	CID:8515
CTRPv2	CID:44224160
CTRPv2	NAME:BRDA86708339
CTRPv2	CID:5278396
CTRPv2	CID:56949517
CTRPv2	NAME:PLX403211
CTRPv2	NAME:D
CTRPv2	CID:15953870
CTRPv2	CID:2907
CTRPv2	CID:5743
CTRPv2	CID:104842
CTRPv2	CID:24901704
CTRPv2	NAME:GMX1778
CTRPv2	CID:54686904
CTRPv2	CID:25183872
CTRPv2	CID:54765302
CTRPv2	CID:135423438
CTRPv2	NAME:BRDK66532283
CTRPv2	CID:5280436
CTRPv2	CID:10427712
CTRPv2	CID:16722836
CTRPv2	NAME:BRDM00053801
CTRPv2	NAME:PLX403221
CTRPv2	CID:42642645
CTRPv2	CID:227681
CTRPv2	CID:6438330
CTRPv2	CID:3431
CTRPv2	NAME:4017
CTRPv2	NAME:JQ121
CTRPv2	NAME:KU0060648
CTRPv2	CID:24748573
CTRPv2	CID:637858
CTRPv2	CID:5746
CTRPv2	CID:11717001
CTRPv2	CID:452548
CTRPv2	CID:11234052
CTRPv2	NAME:BRDA0230374111
CTRPv2	NAME:BRDK55473186
CTRPv2	CID:451668
CTRPv2	NAME:BRDK28456706
CTRPv2	CID:24978538
CTRPv2	CID:24785538
CTRPv2	CID:439501
CTRPv2	NAME:BRDA02303741
CTRPv2	CID:11178236
CTRPv2	CID:56973724
CTRPv2	NAME:CIL55A
CTRPv2	CID:25150857
CTRPv2	CID:46224516
CTRPv2	CID:11214940
CTRPv2	CID:448949
CTRPv2	CID:176871
CTRPv2	CID:11983303
CTRPv2	CID:123631
CTRPv2	NAME:BRDK19103580
CTRPv2	CID:23582824
CTRPv2	CID:107985
CTRPv2	NAME:BRDK63431240
CTRPv2	CID:4521392
CTRPv2	NAME:BRDA0230374121
CTRPv2	NAME:1B
CTRPv2	CID:13290751
CTRPv2	CID:45073452
CTRPv2	NAME:BRDA71883111
CTRPv2	CID:216239
CTRPv2	CID:5284329
CTRPv2	CID:444795
CTRPv2	NAME:ISOX2501
CTRPv2	NAME:11
CTRPv2	CID:9444
CTRPv2	CID:16659841
CTRPv2	CID:44819697
CTRPv2	CID:65628
CTRPv2	NAME:16
CTRPv2	CID:46215462
CTRPv2	CID:24856436
CTRPv2	CID:25154868
CTRPv2	CID:9803433
CTRPv2	CID:969516
CTRPv2	NAME:BRDK26531177
CTRPv2	CID:2130404
CTRPv2	CID:57330099
CTRPv2	CID:36462
CTRPv2	CID:3634881
CTRPv2	CID:49836020
CTRPv2	CID:5284616
CTRPv2	CID:3136844
CTRPv2	CID:16038120
CTRPv2	CID:5351362
CTRPv2	CID:9927531
CTRPv2	CID:2842253
GDSC2	CID:10096043
GDSC2	CID:24856436
GDSC2	CID:11152667
GDSC2	CID:54761306
GDSC2	NAME:BDP00009066
GDSC2	NAME:CDK95576
GDSC2	CID:243725
GDSC2	CID:3062316
GDSC2	CID:5311
GDSC2	CID:3385
GDSC2	CID:11972519
GDSC2	CID:11977753
GDSC2	NAME:681640
GDSC2	NAME:KRASG12CI12
GDSC2	NAME:CDK95038
GDSC2	CID:10184653
