cohort	cohort_label	system	TF	n	skewness	z	p_value	FDR
PDMR_LUAD	PDMR PDX	PDX	ZNF33B	22	-0.285972671212305	-0.547595974992302	0.583969353768196	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	ZNF341	22	0.0132800497805	0.0254293593044085	0.979712493337322	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	ZNF444	22	0.253639101058624	0.485681901880953	0.627192717284108	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	ZNF540	22	0.170066384925735	0.325652334092046	0.744687411745414	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	ZNF678	22	0.267611839608289	0.512437659195034	0.608344740171523	0.980406517648372
PDMR_LUAD	PDMR PDX	PDX	ZNF75D	22	0.138558715875168	0.265319741189589	0.790763158035193	0.980406517648372
DEPMAP_LUAD	DepMap cell lines	Cell line	ABHD14B	76	0.264489893533174	0.94132643004171	0.346537602406291	0.582214332822365
DEPMAP_LUAD	DepMap cell lines	Cell line	CREB3L2	76	-0.0552764233680223	-0.196730232597596	0.84403865020967	0.902248212293096
DEPMAP_LUAD	DepMap cell lines	Cell line	CREBRF	76	0.167356524759844	0.595626236949625	0.551424945160045	0.690596991453569
DEPMAP_LUAD	DepMap cell lines	Cell line	CRY2	76	0.243861402806279	0.867909093470925	0.385444100430552	0.582214332822365
DEPMAP_LUAD	DepMap cell lines	Cell line	CSRNP1	76	0.450576834371884	1.60361470638038	0.108799007060909	0.281064101574014
DEPMAP_LUAD	DepMap cell lines	Cell line	E2F5	76	-0.505395600990218	-1.79871612666832	0.0720635966009106	0.259856042708424
DEPMAP_LUAD	DepMap cell lines	Cell line	ELF3	76	0.022370446993626	0.0796170043612879	0.936541870624933	0.956700622423152
DEPMAP_LUAD	DepMap cell lines	Cell line	ETV1	76	0.549289478407074	1.95493558132326	0.0505906741814517	0.224044414232143
DEPMAP_LUAD	DepMap cell lines	Cell line	FOXA3	76	1.03661864421518	3.68935279393337	0.000224825271110098	0.00348479170220652
DEPMAP_LUAD	DepMap cell lines	Cell line	FOXD2	76	0.144738105380114	0.515126692398076	0.606464491409233	0.69631108272912
DEPMAP_LUAD	DepMap cell lines	Cell line	MAGED2	76	0.239295584034439	0.851659225367082	0.394403257718377	0.582214332822365
DEPMAP_LUAD	DepMap cell lines	Cell line	MXD4	76	0.115464397377256	0.410940802040201	0.681115942859692	0.75409265102323
