cohort	cohort_label	score	TF	n	pearson_r	p_value	FDR	anchor_display_support
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ABHD14B	183	-0.170299003108969	0.0211755995420719	0.0345496624107489	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	CREB3L2	183	0.134415005086696	0.0696601123714378	0.0899776451464405	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	CREBRF	183	0.205772070083207	0.00519755018484278	0.0106232709303949	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	CRY2	183	-0.118885947437525	0.108950275954022	0.12509105757684	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	CSRNP1	183	0.261851122321892	0.000342719994618539	0.000965847257561338	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	E2F5	183	-0.0855593542738716	0.249482337228621	0.266688015658181	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ELF3	183	-0.326699241744562	6.37066869652529e-06	4.9372682398071e-05	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ETV1	183	0.307323463691142	2.31852992746322e-05	0.000118634445041254	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	FOXA3	183	-0.222358519578562	0.00248332069986038	0.00549878154969085	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	FOXD2	183	-0.204523135799984	0.00548297854471996	0.0106232709303949	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	MAGED2	183	-0.289951028699354	6.85170791191476e-05	0.000236003272521509	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	MXD4	183	-0.0679869414248184	0.360471559890218	0.372487278553225	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	NCOA7	183	0.374818324925487	1.71777386620835e-07	2.66254949262295e-06	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	NFATC4	183	-0.301401966670317	3.38062809002596e-05	0.000130999338488506	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	NR3C2	183	0.0984697518529704	0.184782778499348	0.204580933338564	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	PHC2	183	0.164225956889344	0.026317811124257	0.038850102135808	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	WWC2	183	0.257389706295976	0.000435636155035374	0.00112539340050805	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	XBP1	183	0.154237640124489	0.037098150794693	0.0522746670288856	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ZBTB18	183	-0.164795565894987	0.0257938351196879	0.038850102135808	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ZNF117	183	-0.022602900352802	0.76134882728429	0.76134882728429	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ZNF141	183	-0.175651607976641	0.0173874372080774	0.0299450307472443	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ZNF19	183	-0.345210571910485	1.70245051465452e-06	1.759198865143e-05	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ZNF254	183	-0.305070420195601	2.67884230738316e-05	0.000118634445041254	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ZNF281	183	-0.119669568856505	0.106620490518416	0.12509105757684	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ZNF33A	183	-0.145240720132682	0.0497937163911094	0.0671132699184518	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ZNF33B	183	-0.225753457604968	0.00212076560384065	0.00505721028608155	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ZNF341	183	-0.406801630125137	1.10037998917938e-08	3.41117796645609e-07	TRUE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ZNF444	183	-0.286599012054145	8.37854821567869e-05	0.000259734994686039	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ZNF540	183	0.128669745796683	0.082580053352672	0.102399266157313	FALSE
