analysis_definition	system	activity_cohort	TF	n_samples	half_sample_threshold	n_promoter_accessible	fraction_promoter_accessible	system_promoter_accessible	mean_LUAD_NES	mean_NES_nonnegative
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF441	22	11	22	1.0	TRUE	0.632913252771396	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF444	22	11	22	1.0	TRUE	3.24278335615053	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF467	22	11	22	1.0	TRUE	4.51810667305064	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF483	22	11	22	1.0	TRUE	1.97093820238513	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF486	22	11	22	1.0	TRUE	0.348905588052191	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF493	22	11	22	1.0	TRUE	0.326999896418354	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF540	22	11	22	1.0	TRUE	1.45945279939804	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF541	22	11	17	0.7727272727272727	TRUE	3.56071102166037	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF597	22	11	22	1.0	TRUE	1.15499234061918	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF608	22	11	22	1.0	TRUE	1.53786962642159	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF620	22	11	22	1.0	TRUE	3.15567860437697	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF662	22	11	19	0.8636363636363636	TRUE	1.2131288714133	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF671	22	11	21	0.9545454545454546	TRUE	0.347503739601032	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF678	22	11	22	1.0	TRUE	2.72591062384592	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF681	22	11	22	1.0	TRUE	0.322462882337443	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF69	22	11	22	1.0	TRUE	2.36618827283218	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF710	22	11	22	1.0	TRUE	3.6465414595342	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF717	22	11	22	1.0	TRUE	0.367229029961227	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF737	22	11	22	1.0	TRUE	-0.0999473010674684	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF75D	22	11	22	1.0	TRUE	1.96492041190927	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF763	22	11	22	1.0	TRUE	0.964336139165812	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF792	22	11	22	1.0	TRUE	1.40105403571638	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF835	22	11	21	0.9545454545454546	TRUE	1.17400060373385	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF852	22	11	22	1.0	TRUE	1.5992315126802	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZNF860	22	11	22	1.0	TRUE	1.28597039147626	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ZSCAN16	22	11	22	1.0	TRUE	2.19861115410941	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	ABHD14B	13	7	7	0.5384615384615384	TRUE	3.83411957772496	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	ABRA	13	7	0	0.0	FALSE	-2.58966960289918	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	APBB1	13	7	2	0.15384615384615385	FALSE	-0.548273862954927	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	ARX	13	7	1	0.07692307692307693	FALSE	-0.341629895903198	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	ASCL5	13	7	1	0.07692307692307693	FALSE	-0.251337243056997	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	ATOH8	13	7	0	0.0	FALSE	-0.664202793343812	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	BATF3	13	7	4	0.3076923076923077	FALSE	-0.646858830263657	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	BCLAF3	13	7	5	0.38461538461538464	FALSE	0.46907160972623	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	CIITA	13	7	1	0.07692307692307693	FALSE	-2.13388212412719	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	CREB3L2	13	7	10	0.7692307692307693	TRUE	1.80368249437254	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	CREBRF	13	7	10	0.7692307692307693	TRUE	1.6952670193717	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	CRY2	13	7	10	0.7692307692307693	TRUE	1.19677696752484	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	CSRNP1	13	7	7	0.5384615384615384	TRUE	1.45358366021724	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	DMRTC2	13	7	1	0.07692307692307693	FALSE	-0.845846757832656	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	DRGX	13	7	0	0.0	FALSE	0.0228448660821765	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	E2F5	13	7	9	0.6923076923076923	TRUE	1.74103075558624	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	ELF3	13	7	8	0.6153846153846154	TRUE	2.23246810365467	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	ELF5	13	7	0	0.0	FALSE	-1.94901287523946	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	EPAS1	13	7	8	0.6153846153846154	TRUE	1.20662415271538	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	ESR1	13	7	3	0.23076923076923078	FALSE	-0.0601598431213857	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	ETV1	13	7	9	0.6923076923076923	TRUE	-0.609556862953565	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	FOXA1	13	7	4	0.3076923076923077	FALSE	0.461064099492983	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	FOXA2	13	7	3	0.23076923076923078	FALSE	-0.260091545890401	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	FOXA3	13	7	9	0.6923076923076923	TRUE	-0.883004761734181	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	FOXD2	13	7	8	0.6153846153846154	TRUE	0.683739642553749	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	PDX	PDMR_PDX	FOXP1	13	7	3	0.23076923076923078	FALSE	0.677602416605842	TRUE
