analysis_definition	TF	patient_promoter_accessible	PDX_promoter_accessible	cell_line_promoter_accessible	triple_system_promoter_accessible	all_three_system_mean_NES_negative	retained_by_anchor_activity_rule	HC_TF_promoter_activity_definition	exclusion_reason
PRIMARY_anchor_promoter_tcga_cpm1_both	RARA	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	RORB	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	RORC	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	SAMD11	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	SMAD6	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	SMAD7	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	SP110	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	SP5	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	SPDEF	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	TBX15	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	TBX4	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	TBXT	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	TCF21	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
