marker_group	gene	target_cells	target_patients	target_datasets	target_mean_expression	background_mean_expression	target_detection_fraction	background_detection_fraction	log2_mean_ratio	multi_patient	multi_dataset
Fibroblast S2	AGT	2671	353	57	0.4804903268814087	0.007985171861946583	0.4350430550355672	0.014616246756636421	5.7438169056184485	True	True
Fibroblast S2	F3	2671	353	57	1.2319988012313843	0.03820101171731949	0.8064395357543991	0.0680760904610566	4.975136698330196	True	True
Fibroblast S2	FRZB	2671	353	57	0.5846925377845764	0.029194362461566925	0.4938225383751404	0.038858950148158385	4.277792396765695	True	True
Fibroblast S2	NRG1	2671	353	57	0.3333909213542938	0.0181629229336977	0.2894047173343317	0.03169668217339904	4.12514614084365	True	True
Fibroblast S2	SOX6	2671	353	57	0.5130664110183716	0.017457151785492897	0.4829651815799326	0.033569772619102455	4.799702903949096	True	True
Fibroblast S3	ASPN	2884	351	60	0.3299233913421631	0.013044264167547226	0.3276699029126214	0.01626260063205001	4.558444328977785	True	True
Fibroblast S3	C7	2884	351	60	0.34397760033607483	0.011639644391834736	0.24826629680998613	0.01571666935787717	4.770474909707712	True	True
Fibroblast S3	CCDC80	2884	351	60	1.0821081399917603	0.032443225383758545	0.7489597780859917	0.04863401843863656	5.017319489105434	True	True
Fibroblast S3	GREM1	2884	351	60	0.37262991070747375	0.006335873156785965	0.36269070735090153	0.011072408940970219	5.670497449711582	True	True
Fibroblastic reticular cell	CCL19	10	1	1	0.0	0.02609976753592491	0.0	0.01688896913343414	-4.760208570960725	False	False
Fibroblastic reticular cell	CCL21	10	1	1	0.0	0.027256781235337257	0.0	0.012217232014564384	-4.820525230754146	False	False
Fibroblastic reticular cell	PDPN	10	1	1	1.5373828411102295	0.03257511556148529	1.0	0.04573186786732567	5.517878400809376	False	False
GC B cell	AICDA	3019	423	64	0.10243567079305649	0.0007717521511949599	0.14077509108976483	0.004941578534152311	5.867413187892166	True	True
GC B cell	BCL6	3019	423	64	0.14054207503795624	0.052929650992155075	0.19807883405101026	0.09741529272310226	1.3920803722589072	True	True
GC B cell	MME	3019	423	64	0.06961536407470703	0.011271810159087181	0.11361377939715138	0.018804168783386442	2.524634040629699	True	True
Goblet	ATOH1	2894	316	46	0.2739206850528717	0.009185995906591415	0.3783690393918452	0.019870350576347822	4.754356511726965	True	True
Goblet	FCGBP	2894	316	46	2.7506508827209473	0.12218774855136871	0.9143054595715273	0.11016356128357543	4.481366751635841	True	True
Goblet	MUC2	2894	316	46	2.41406512260437	0.1223921924829483	0.8818244644091223	0.09518390070976523	4.290739074672288	True	True
Goblet	ZG16	2894	316	46	2.6555089950561523	0.0668041929602623	0.783690393918452	0.06893873564897765	5.292013296326992	True	True
Granulocyte progenitor	ARG1	85	28	8	0.9342135190963745	0.0008080333354882896	0.6705882352941176	0.0020022280432360822	9.014730697266895	True	True
Granulocyte progenitor	CD24	85	28	8	0.9474604725837708	0.2134559452533722	0.5647058823529412	0.19463764188721283	2.1449063384472504	True	True
Granulocyte progenitor	CEACAM8	85	28	8	1.260727047920227	0.0005226028733886778	0.6823529411764706	0.003424863758166983	9.69464442156065	True	True
Granulocyte progenitor	ITGAM	85	28	8	0.7615262269973755	0.03341227024793625	0.6941176470588235	0.0591259446602234	4.469791981864415	True	True
ILC	ICOS	1458	280	54	0.33660343289375305	0.0606374628841877	0.24828532235939643	0.06853565968709832	2.453450189948455	True	True
ILC	IL4I1	1458	280	54	0.47782522439956665	0.04147162288427353	0.3607681755829904	0.06861171746058306	3.4949280134083667	True	True
ILC	KIT	1458	280	54	0.2737325429916382	0.04569545388221741	0.20438957475994513	0.04189262163539424	2.5566738068256254	True	True
ILC	LST1	1458	280	54	0.5429304242134094	0.17752186954021454	0.37997256515775035	0.16177488420203986	1.6073213036262077	True	True
Macrophage	C1QA	3826	465	64	1.9262409210205078	0.07962725311517715	0.854678515420805	0.0595379169861592	4.579125549608889	True	True
Macrophage	C1QB	3826	465	64	1.847407341003418	0.07736901938915253	0.7974385781495034	0.05590538373957293	4.559855469040022	True	True
Mast cell	CPA3	3235	402	58	2.409750461578369	0.0033514578826725483	0.8961360123647605	0.005435536846000832	9.113767776361874	True	True
Mast cell	GATA2	3235	402	58	1.1833230257034302	0.010348816402256489	0.7452859350850077	0.021796117253396245	6.705376978511232	True	True
Mast cell	TPSAB1	3235	402	58	3.457129716873169	0.005330248735845089	0.9653786707882535	0.009999845800373164	9.093514082262518	True	True
Mast cell	TPSB2	3235	402	58	3.477003812789917	0.006907666102051735	0.8942812982998455	0.013068418374427534	8.780791843725053	True	True
Monocyte classical	CD14	3360	386	59	0.9151297211647034	0.10711774230003357	0.7196428571428571	0.10418515631632157	3.0829486028503323	True	True
Monocyte classical	S100A12	3360	386	59	0.7258780598640442	0.01939108781516552	0.5357142857142857	0.018776480393897066	5.155702712956405	True	True
