system	permutation	sample_number	cumulative_consensus_peaks
patient	23	9	137699
patient	23	10	138298
patient	23	11	138462
patient	23	12	138588
patient	23	13	138692
patient	23	14	138719
patient	23	15	138778
patient	23	16	138802
patient	23	17	138846
patient	23	18	138873
patient	23	19	138890
patient	23	20	138900
patient	23	21	138903
patient	23	22	138923
patient	24	1	119408
patient	24	2	131294
patient	24	3	135842
patient	24	4	136114
patient	24	5	136406
patient	24	6	136573
patient	24	7	137860
patient	24	8	138016
patient	24	9	138065
patient	24	10	138607
patient	24	11	138678
patient	24	12	138745
patient	24	13	138797
patient	24	14	138825
patient	24	15	138827
patient	24	16	138896
patient	24	17	138902
patient	24	18	138902
patient	24	19	138908
patient	24	20	138922
patient	24	21	138922
patient	24	22	138923
patient	25	1	127182
patient	25	2	130486
patient	25	3	135933
patient	25	4	136309
patient	25	5	137382
patient	25	6	137821
patient	25	7	138103
patient	25	8	138156
patient	25	9	138271
patient	25	10	138303
patient	25	11	138316
patient	25	12	138425
patient	25	13	138433
patient	25	14	138547
patient	25	15	138615
patient	25	16	138738
patient	25	17	138763
patient	25	18	138779
patient	25	19	138885
patient	25	20	138897
patient	25	21	138917
patient	25	22	138923
patient	26	1	110233
patient	26	2	121516
patient	26	3	134201
patient	26	4	135455
patient	26	5	136574
patient	26	6	138020
patient	26	7	138408
patient	26	8	138455
patient	26	9	138580
patient	26	10	138656
patient	26	11	138779
patient	26	12	138820
patient	26	13	138853
patient	26	14	138863
patient	26	15	138869
patient	26	16	138871
patient	26	17	138877
patient	26	18	138885
patient	26	19	138887
patient	26	20	138900
patient	26	21	138900
patient	26	22	138923
patient	27	1	103104
patient	27	2	128904
patient	27	3	133957
patient	27	4	136576
patient	27	5	137102
patient	27	6	138089
patient	27	7	138320
patient	27	8	138379
patient	27	9	138619
patient	27	10	138650
patient	27	11	138776
patient	27	12	138786
patient	27	13	138820
patient	27	14	138835
patient	27	15	138882
patient	27	16	138905
patient	27	17	138906
patient	27	18	138913
patient	27	19	138913
patient	27	20	138917
patient	27	21	138917
patient	27	22	138923
patient	28	1	131866
patient	28	2	133847
patient	28	3	135700
patient	28	4	137973
patient	28	5	138111
patient	28	6	138260
patient	28	7	138450
patient	28	8	138528
patient	28	9	138752
patient	28	10	138792
patient	28	11	138806
patient	28	12	138859
patient	28	13	138862
patient	28	14	138886
patient	28	15	138893
patient	28	16	138895
patient	28	17	138899
patient	28	18	138909
patient	28	19	138913
patient	28	20	138914
patient	28	21	138917
patient	28	22	138923
patient	29	1	131866
patient	29	2	135632
patient	29	3	137135
patient	29	4	137685
patient	29	5	137896
patient	29	6	138020
patient	29	7	138476
patient	29	8	138619
patient	29	9	138723
patient	29	10	138741
patient	29	11	138778
patient	29	12	138831
patient	29	13	138845
patient	29	14	138850
patient	29	15	138865
patient	29	16	138883
patient	29	17	138889
patient	29	18	138892
patient	29	19	138900
patient	29	20	138922
patient	29	21	138922
patient	29	22	138923
patient	30	1	123022
patient	30	2	130597
patient	30	3	136342
patient	30	4	137013
patient	30	5	137261
patient	30	6	138232
patient	30	7	138347
patient	30	8	138516
patient	30	9	138537
patient	30	10	138551
patient	30	11	138740
patient	30	12	138797
patient	30	13	138800
patient	30	14	138824
patient	30	15	138850
patient	30	16	138863
patient	30	17	138871
patient	30	18	138898
patient	30	19	138903
patient	30	20	138906
patient	30	21	138923
patient	30	22	138923
patient	31	1	124776
patient	31	2	135493
patient	31	3	136958
patient	31	4	137539
patient	31	5	138047
patient	31	6	138667
patient	31	7	138738
patient	31	8	138748
