system	sample_1	sample_2	pearson_r
patient	TCGA-86-A4P8	TCGA-MP-A4TE	0.531796403238738
patient	TCGA-86-A4P8	TCGA-MP-A4TF	0.73070287706128
patient	TCGA-86-A4P8	TCGA-NJ-A4YG	0.845545548101498
patient	TCGA-91-A4BC	TCGA-44-3918	0.732041417450086
patient	TCGA-91-A4BC	TCGA-44-6146	0.625321254066086
patient	TCGA-91-A4BC	TCGA-44-A47F	0.578498974523123
patient	TCGA-91-A4BC	TCGA-49-AARO	0.691690446630711
patient	TCGA-91-A4BC	TCGA-4B-A93V	0.627852379081451
patient	TCGA-91-A4BC	TCGA-73-A9RS	0.678740875790623
patient	TCGA-91-A4BC	TCGA-86-A4D0	0.58357679630676
patient	TCGA-91-A4BC	TCGA-86-A4P7	0.730050774872748
patient	TCGA-91-A4BC	TCGA-86-A4P8	0.70593899480573
patient	TCGA-91-A4BC	TCGA-91-A4BC	1.0
patient	TCGA-91-A4BC	TCGA-91-A4BD	0.675885262145542
patient	TCGA-91-A4BC	TCGA-93-A4JN	0.701391325032506
patient	TCGA-91-A4BC	TCGA-93-A4JO	0.783370007461783
patient	TCGA-91-A4BC	TCGA-93-A4JQ	0.773524761211105
patient	TCGA-91-A4BC	TCGA-L4-A4E6	0.694732226308611
patient	TCGA-91-A4BC	TCGA-L9-A8F4	0.7907088660355
patient	TCGA-91-A4BC	TCGA-MP-A4SV	0.715670207770817
patient	TCGA-91-A4BC	TCGA-MP-A4T4	0.682086490405163
patient	TCGA-91-A4BC	TCGA-MP-A4T7	0.728651396880371
patient	TCGA-91-A4BC	TCGA-MP-A4TE	0.690285418929242
patient	TCGA-91-A4BC	TCGA-MP-A4TF	0.689038573403746
patient	TCGA-91-A4BC	TCGA-NJ-A4YG	0.716152849696278
patient	TCGA-91-A4BD	TCGA-44-3918	0.752689746873308
patient	TCGA-91-A4BD	TCGA-44-6146	0.693174765034888
patient	TCGA-91-A4BD	TCGA-44-A47F	0.692720495239841
patient	TCGA-91-A4BD	TCGA-49-AARO	0.7294009646537
patient	TCGA-91-A4BD	TCGA-4B-A93V	0.543889043631999
patient	TCGA-91-A4BD	TCGA-73-A9RS	0.560673222692155
