analysis_definition	system	sample_id	TF	promoter_accessible
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF214	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF239	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF254	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF281	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF33A	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF33B	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF341	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF382	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF396	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF429	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF441	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF444	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF467	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF483	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF486	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF493	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF540	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF541	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF597	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF608	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF620	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF662	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF671	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF678	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF681	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF69	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF710	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF717	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF737	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF75D	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF763	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF792	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF835	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF852	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF860	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZSCAN16	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ABHD14B	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ABRA	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	APBB1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ARX	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ASCL5	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ATOH8	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	BATF3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	BCLAF3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	CIITA	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	CREB3L2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	CREBRF	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	CRY2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	CSRNP1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	DMRTC2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	DRGX	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	E2F5	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ELF3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ELF5	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	EPAS1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ESR1	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ETV1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	FOXA1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	FOXA2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	FOXA3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	FOXD2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	FOXP1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	FOXP4	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	GATA5	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	GATA6	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	GCM1	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	GLIS3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	HNF1A	TRUE
