TF	NES	p_value	FDR	regulon_size
ASCL3	-0.457450638764549	0.647347173884787	0.902600240934727	2
ASCL4	-2.52196439198767	0.0116701520849389	0.0667625794488809	8
ASCL5	1.81589502705417	0.0693864763066901	0.249691835885007	13
ASH1L	0.798121911713162	0.42479974700367	0.767831636487575	51
ASXL1	-0.486965427524409	0.626282831371443	0.894435224319956	25
ASXL2	-0.838725133864843	0.401623570861159	0.754718590016702	36
ASXL3	0.332055214140937	0.739847567118708	0.949881019676705	28
ATAD2	-2.21237626511077	0.0269406774645823	0.125224260066855	173
ATAD2B	-0.709005252167277	0.478321217558603	0.798437570634792	16
ATF1	-0.334294618352071	0.73815725101932	0.94831718493077	41
ATF2	1.03715682729925	0.299662774724764	0.647710281644053	108
ATF3	0.110436454001983	0.912063243816667	0.999927879915109	7
ATF4	-1.90812661003629	0.0563748541776149	0.214916545486639	26
ATF5	-2.5977789713271	0.00938288687303046	0.0568602979958672	65
ATF6	1.99737019235412	0.0457849833828183	0.185307747132137	102
ATF6B	0.225235053138454	0.821796421490541	0.97585287661325	55
ATF7	1.69621505014267	0.0898451612788427	0.300181503906682	28
ATF7IP	-1.70889378823165	0.087470625365186	0.294206056504679	42
ATF7IP2	0.0736458820079098	0.94129216167595	0.999927879915109	16
ATMIN	-0.28123710205839	0.778528549226397	0.962667979369708	67
ATOH1	-0.298819185917585	0.765078011171498	0.955453869928816	6
ATOH7	-0.432434057679712	0.665425969444825	0.910201189812812	15
ATOH8	2.86447085271167	0.00417706594838156	0.0323440857858591	77
ATP1B4	0.0325648616285022	0.974021591317832	0.999927879915109	7
ATXN1	-0.995409996596676	0.319536898614074	0.666282546642845	24
ATXN1L	-0.216107645279598	0.828903840451578	0.977505769565311	20
ATXN7L3	-0.423243317460713	0.672117745245674	0.914372237378703	10
BACH1	-2.12760915450204	0.0333695025857269	0.146621359282581	24
BACH2	-2.86575521513295	0.00416015788724983	0.0323440857858591	45
BAHD1	0.583716777960661	0.559410877262338	0.859917246820582	31
BARHL1	-0.00517415477765009	0.995871640208374	0.999927879915109	6
BARHL2	-0.818204104914497	0.413240651616215	0.761969369618376	3
BARX1	-0.977542179136319	0.32830080676446	0.672282374542719	33
BARX2	0.342990748027142	0.731605420455025	0.944000333641141	9
BASP1	-0.201251807347625	0.840501683686575	0.986398235442807	10
BATF	0.847554991751647	0.396685849086996	0.749336956694908	86
BATF2	1.05081581834179	0.293343189264142	0.640831146493411	51
BATF3	0.669938588473302	0.502896939264577	0.818724628559001	71
BAZ1A	-2.53820466204538	0.0111422803176942	0.0646638695893928	17
BBX	-2.52859419260449	0.0114520352732399	0.0659549541802957	76
BCL11A	-3.60926523638513	0.000307065523930907	0.0193395427209346	78
BCL11B	-1.88021520892678	0.0600787536477655	0.224234455993891	68
BCL3	0.304733098851954	0.760569438592374	0.955453869928816	19
BCL6	-0.708864735004686	0.478408421006424	0.798437570634792	7
BCL6B	1.46860588911955	0.141939716602345	0.409504239852743	75
BCL9	3.14050602741602	0.00168656236942175	0.0221956914311769	45
BCL9L	0.600640894589746	0.548079193950905	0.852878655661668	68
BCLAF1	-0.871826991404489	0.383302767382746	0.733020911337671	115
BCLAF3	3.17686641327174	0.00148875593797279	0.0217633093901877	56
BCOR	1.63875438119367	0.10126442338843	0.32300841841529	15
BCORL1	0.185400568959229	0.852914862192115	0.994553520833191	27
BCORP1	-0.914363409845742	0.360525921632199	0.713493673254058	44
BEND3	-0.442632707589192	0.658031422993984	0.906687616916173	13
BEND5	-1.11508915446245	0.264812218619362	0.602883146244533	8
BHLHA15	-0.0643851061491534	0.948663588990646	0.999927879915109	28
BHLHA9	-0.0442108134237563	0.964736362616922	0.999927879915109	6
BHLHE22	0.723257684339792	0.469521585094565	0.79154742846462	65
BHLHE40	0.260172173394784	0.794730967739719	0.967654585810038	10
BHLHE41	-0.990407079737385	0.321975186395929	0.667865855930472	27
BICRA	-0.30929754762135	0.757095196292666	0.954329663625657	16
BICRAL	2.93682489385081	0.00331591278739083	0.0288397127994866	72
BMI1	0.903091190162564	0.366477499282978	0.717938359570946	60
BMP2	0.990161814901908	0.322095033355491	0.667865855930472	9
BMP4	2.6201416596601	0.00878932478559226	0.0549811967896239	47
BNC1	-3.58079107848589	0.000342555486611655	0.0193395427209346	202
BNC2	0.133352220615215	0.893914830261784	0.999927879915109	71
BPTF	1.016067786569	0.309597107761564	0.654455415327584	49
BRCA1	-2.34080142929425	0.0192423983523546	0.0978195845355139	209
BRCA2	-2.66778747764855	0.00763525378549945	0.0497778883158536	36
BRD1	-0.794034957295871	0.427175080879569	0.767831636487575	45
BRD2	-2.86482694204041	0.00417237195514945	0.0323440857858591	5
BRD3	-0.984962668010903	0.324642408774904	0.670660449403299	26
BRD4	-2.97258501534267	0.0029530341600227	0.0270773967972835	106
BRD7	-0.389541388456566	0.696875700013171	0.926055717920995	39
BRD9	-0.922291168287559	0.356376719494797	0.70922145960907	34
BRDT	2.01356600276723	0.0440551188145735	0.179827246578151	10
BRMS1	-0.7385167768174	0.460200476124867	0.785521935733503	66
