dataset	source_drug_id	drug_name	canonical_drug	pubchem_cid	inchikey	target	pathway_or_moa
PRISM	Tivozanib	Tivozanib	CID:9911830	9911830	SPMVMDHWKHCIDT-UHFFFAOYSA-N	FLT1, FLT4, KDR, KIT, PDGFRA, PDGFRB	VEGFR inhibitor
PRISM	TMC-353121	TMC-353121	CID:11249932	11249932	DKORMNNYNRPTBJ-UHFFFAOYSA-N		RSV fusion inhibitor
PRISM	2,3',4,5'-Tetramethoxystilbene	2,3',4,5'-Tetramethoxystilbene	CID:5354004	5354004	JDBCWSHYEQUBLW-AATRIKPKSA-N		
PRISM	Tofogliflozin	Tofogliflozin	CID:46908929	46908929	VWVKUNOPTJGDOB-BDHVOXNPSA-N	GCK	sodium/glucose cotransporter inhibitor
PRISM	Topotecan	Topotecan	CID:11972519	11972519	DGHHQBMTXTWTJV-BQAIUKQQSA-N	TOP1, TOP1MT	topoisomerase inhibitor
PRISM	Torsemide	Torsemide	CID:41781	41781	NGBFQHCMQULJNZ-UHFFFAOYSA-N	SLC12A1	electrolyte reabsorption inhibitor, thromboxane receptor antagonist
PRISM	Torcetrapib	Torcetrapib	CID:159325	159325	CMSGWTNRGKRWGS-NQIIRXRSSA-N	CETP	cholesteryl ester transfer protein inhibitor
PRISM	Toremifene	Toremifene	CID:3005573	3005573	XFCLJVABOIYOMF-QPLCGJKRSA-N	ESR1	estrogen receptor antagonist, selective estrogen receptor modulator (SERM)
PRISM	Torin 1	Torin 1	CID:49836027	49836027	AKCRNFFTGXBONI-UHFFFAOYSA-N	MTOR	mTOR inhibitor
PRISM	Torin 2	Torin 2	CID:51358113	51358113	GUXXEUUYCAYESJ-UHFFFAOYSA-N	MTOR	mTOR inhibitor
PRISM	Tosedostat	Tosedostat	CID:15547703	15547703	FWFGIHPGRQZWIW-SQNIBIBYSA-N	ANPEP, LAP3, NPEPPS	peptidase inhibitor
PRISM	Tozasertib	Tozasertib	CID:5494449	5494449	GCIKSSRWRFVXBI-UHFFFAOYSA-N	AURKA, AURKB, AURKC, LCK	Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor
PRISM	TPCA-1	TPCA-1	CID:9903786	9903786		IKBKB	IKK inhibitor
PRISM	Trametinib	Trametinib	CID:11707110	11707110	LIRYPHYGHXZJBZ-UHFFFAOYSA-N	MAP2K1, MAP2K2	MEK inhibitor
PRISM	Tranilast	Tranilast	CID:5282230	5282230	NZHGWWWHIYHZNX-CSKARUKUSA-N	HPGDS, HRH1	angiogenesis inhibitor
PRISM	4-Hydroxycrotonic acid	4-Hydroxycrotonic acid	CID:6155526	6155526	RMQJECWPWQIIPW-OWOJBTEDSA-N		gamma hydroxybutyric acid ligand
PRISM	Trapidil	Trapidil	CID:5531	5531	GSNOZLZNQMLSKJ-UHFFFAOYSA-N	PDGFRA	PDGFR tyrosine kinase receptor inhibitor
PRISM	Tremorine	Tremorine	CID:5534	5534	JSUAJTLKVREZHV-UHFFFAOYSA-N		acetylcholine receptor agonist
PRISM	Trequinsin	Trequinsin	CID:5537	5537	MCMSJVMUSBZUCN-UHFFFAOYSA-N	PDE5A	phosphodiesterase inhibitor
PRISM	Triamcinolone	Triamcinolone	CID:31307	31307	GFNANZIMVAIWHM-OBYCQNJPSA-N	NR3C1, SERPINA6	glucocorticoid receptor agonist
