TF	NES	p_value	FDR	regulon_size
POU3F4	-2.95433464460994	0.0031334402265572	0.0239231836694126	40
POU4F1	-2.47335855112024	0.0133849778364946	0.0664241356676905	41
POU4F2	0.202989053950888	0.839143587792997	0.958616477842716	26
POU4F3	-1.43906005763388	0.150133507508857	0.372271415224822	30
POU5F1	0.458418434489859	0.646651850086398	0.86912667221664	113
POU6F1	0.631179430128588	0.527923210048734	0.803879068718322	62
POU6F2	-3.56311561567704	0.000366479172987806	0.0120788543750063	52
PPARA	-0.495429087208216	0.620297266733363	0.857004059531999	58
PPARD	-0.409940695466118	0.681849451704571	0.892371851298932	129
PPARG	1.27571020371394	0.20205798024919	0.455759271092797	165
PPARGC1A	2.92430333742642	0.00345228147463686	0.0244776384169931	145
PPARGC1B	-0.897868951830717	0.369255419050394	0.670840098486591	95
PPP1R13L	-1.31999343437245	0.186837210089323	0.436043488864532	107
PPRC1	-0.748051152261417	0.454429304227007	0.746595448958918	132
PRDM1	0.733515814795898	0.463243885750162	0.751898367323127	264
PRDM10	-0.724614224634858	0.468688729880349	0.755421455845073	126
PRDM14	0.245776479715025	0.805855265151222	0.940606778083775	41
PRDM15	0.514858062757723	0.606652208069539	0.843878825178558	38
PRDM16	3.41972859415511	0.000626836414469684	0.0134125166064609	140
PRDM2	0.96022398363979	0.336942498622522	0.637939197274762	67
PRDM5	0.402262317092196	0.687490984240691	0.894077155707122	33
PRDM8	2.80923049849672	0.00496600776106169	0.0300104232936463	113
PRMT5	-1.39577997727926	0.162780761685778	0.392306948011526	228
PROP1	-0.758926863360893	0.447896308264209	0.740381307929067	68
PROX1	2.83751097444248	0.00454667837436746	0.0286831467757947	102
PRRX1	0.309906245046648	0.756632253600251	0.923628941469694	187
PRRX2	-1.62063994790826	0.10509487956497	0.289420060183529	46
PSIP1	0.97358071910686	0.330264763531346	0.631216086512572	131
PSPC1	0.0534403306328484	0.957381071907501	0.984195054825343	80
PTF1A	0.105141800518131	0.916263291085296	0.975138086781005	30
PTMA	-1.41957437390634	0.155731630286447	0.380265519907409	139
PTMS	-3.32377926498163	0.000888064571803744	0.0143422428346305	111
PTOV1	-0.397662269618846	0.690879153087931	0.895080161581503	93
PURA	1.47107313176011	0.141271340318137	0.356489397834049	64
PURB	-2.88272044383835	0.00394257163530861	0.0265302216292642	62
PURG	0.285379612451814	0.775353325304711	0.930308781847778	135
RAI1	-1.4364469592432	0.150875198939172	0.372764722327395	100
RARA	2.93949820772125	0.00328744171970463	0.0239947213287037	199
RARB	-2.21969945675605	0.0264391757558037	0.107826436478846	124
RARG	-0.151205355017508	0.879813726172665	0.969719277426941	43
RAX	0.300115395690034	0.764089136125588	0.926080485635493	31
RBAK	0.64953646997905	0.515991681480835	0.790632415172248	81
RBBP4	-0.0673771494976136	0.946281459902625	0.982929393557581	113
RBBP7	-0.717211495192833	0.47324360744319	0.760485996040549	205
RCOR1	-0.958276296589958	0.337923453084357	0.639047279544773	31
RCOR2	-3.13676039941662	0.00170825666109071	0.0185710513594641	160
RCOR3	2.27876629158876	0.0226809616851963	0.0976793416575787	142
REL	-0.628795215520771	0.52948313272924	0.803879068718322	119
RELA	-0.710239083377208	0.477555888244154	0.761378069614688	114
RELB	-0.721101615511953	0.470846997165067	0.758143470011549	86
REPIN1	0.767897871368236	0.442547862153143	0.734133966385752	86
REST	-0.270642655394129	0.786665885461413	0.933330730498678	66
RFPL1	-2.57708068342972	0.00996386900896098	0.0538182222390367	36
RFPL2	0.338383703451947	0.735074053336992	0.90899279949406	21
RFPL3	-0.829330800103393	0.406917246960543	0.706044252585318	38
RFX1	0.879370867542379	0.37920022252569	0.68196921979843	190
RFX2	2.42452881116586	0.0153282669975898	0.0738959737346494	100
RFX3	0.519711268805926	0.60326483151777	0.842800971049452	28
RFX4	-0.50051378207312	0.616713354224689	0.853463639308374	70
RFX5	3.10442020638182	0.00190652345627863	0.0187443060120688	131
RFXANK	-0.461410604110476	0.644504045021597	0.86912667221664	151
RFXAP	-0.394163347783832	0.693460443968379	0.895093575177549	81
RING1	0.61251889746099	0.540194498956628	0.810040961759474	87
RLF	-1.4281855931586	0.153238446219495	0.376065129259818	98
RNF10	3.25628294228056	0.0011288120200652	0.0155814650632932	113
RNF111	1.3546357060443	0.175533651475828	0.412644610092376	57
RNF4	-0.162477874510001	0.870929550343557	0.969719277426941	101
RNF6	0.797332327976436	0.425258049871987	0.721419906032836	46
RORA	0.260658397700989	0.794355951012638	0.937064922841655	115
RORB	3.41951728200672	0.000627323475699358	0.0134125166064609	81
RORC	3.85871613930799	0.000113984235485614	0.0117818426196165	199
RPS6KA1	1.23208622265477	0.217916877356405	0.479924672983353	116
RPS6KA4	-1.22674432938186	0.219918700687209	0.481911399741985	121
RPS6KA5	-0.570290018269649	0.568481009860137	0.822059547754188	76
RREB1	-0.110637101339843	0.911904125463457	0.975138086781005	192
RUNX1	1.02292528721076	0.306343172324342	0.598963950731008	62
RUNX1T1	3.10411746069278	0.00190847546572617	0.0187443060120688	101
RUNX2	-0.0625684551072523	0.950110149359136	0.982929393557581	84
RUNX3	-0.377886317536849	0.705515047154319	0.898884771744188	117
RUVBL1	-2.29666221318118	0.0216380466264212	0.0949814180649139	232
RUVBL2	-2.24799980823583	0.0245762021462772	0.10229527439752	173
RXRA	-0.894042916535266	0.371298929433746	0.670840098486591	143
RXRB	2.06543463143899	0.0388818946354326	0.139233392098057	48
RXRG	1.76073313212052	0.0782835822003943	0.230708002287658	50
RYBP	2.89907697247946	0.00374263002198522	0.0256024711770918	71
SAFB	-1.96725399603532	0.0491539358032155	0.167123381730933	118
SAFB2	-0.960632068737407	0.336737198406691	0.637939197274762	67
SALL1	0.647005790720085	0.517628195713504	0.790888870461031	41
SALL2	3.22742451778575	0.00124909991985278	0.0160640938593085	90
SALL3	-0.570398609874234	0.56840737221135	0.822059547754188	106
SALL4	-0.299740909880309	0.7643747909301	0.926080485635493	104
SAMD1	-3.02475639398256	0.00248833461541853	0.020822074631611	155
SAMD11	-0.128919031791569	0.897421717145414	0.975138086781005	128
SAMD13	0.616202629438621	0.537760793234717	0.809026782501026	43
SAMD7	-0.558553081770354	0.57646676804118	0.824933611859023	64
SAP130	-1.53240598364905	0.125422281803374	0.331923052829575	85
SAP18	3.25795317215622	0.00112218922635882	0.0155814650632932	82
SAP30	-0.412208235014464	0.68018680172031	0.891687937990407	55
SATB1	-0.20904016689046	0.83441688257438	0.956411118067867	55
SATB2	-0.697301522084451	0.485614115722901	0.76663421006108	63
SBNO1	-1.89663308642631	0.0578763806394801	0.188448295832178	122
SCMH1	0.637316921740877	0.523918430794938	0.79898797519719	84
SCML1	0.417564775666282	0.676265355116134	0.890112916473151	117
SCML2	-3.03240136257448	0.00242616374631262	0.0205144212057324	117
SCML4	2.22494069550371	0.0260852196017576	0.107069418078081	36
SCRT1	-0.859662940060993	0.389974869170878	0.689824111403032	48
SCRT2	0.899926927560493	0.368159138968871	0.670840098486591	21
SEMA4D	1.19625058236358	0.231598787049206	0.500756924837841	72
SERTAD3	-0.104227289010793	0.916988978407866	0.975138086781005	117
SETBP1	0.735690444557244	0.461919106154159	0.751363882024892	109
SETD3	-0.00701063624059106	0.994406367402526	0.995022480393481	92
SFMBT1	-0.547373268612602	0.584122316324479	0.829208998245836	96
SFMBT2	0.87525487996346	0.381435238433791	0.68522570641888	225
SFPQ	-0.814506542298687	0.415354825844034	0.712336623262607	120
SHOX	-2.0338446533043	0.0419672607512046	0.148308809875701	42
SHOX2	-1.97618856318779	0.0481334247308119	0.164345625666514	111
SIM1	1.17754981732742	0.238976125978135	0.511099381456999	48
SIM2	-3.3348594736906	0.000853425153261612	0.014062188837958	80
SIN3A	-2.95112507817253	0.00316618673303464	0.0239231836694126	80
SIN3B	-0.695752968758655	0.486583547332235	0.766665784333228	142
SIRT1	2.25177471810824	0.0243365121281946	0.101822453593353	136
SIRT6	-1.04359805318487	0.296671394012171	0.587162133982422	74
SIRT7	-1.15213949402465	0.249263756282822	0.527602839314231	62
SIX1	-3.0789183279258	0.00207753627330897	0.0195558731672294	51
SIX2	-3.36158784032336	0.000774957033242319	0.0134575871901758	46
SIX3	0.101772712578936	0.918937085370007	0.97572872641194	27
SIX4	-2.64550575413751	0.00815688997075628	0.0460607597999	109
SIX5	-0.377179683682768	0.706040077305233	0.898884771744188	111
SIX6	0.55673437691381	0.577708925704368	0.824933611859023	34
SKI	-0.33536038431604	0.737353248090377	0.91015700421522	92
SKIL	-3.16254383178746	0.00156397189380417	0.0174194110930602	154
SLC2A4RG	-2.17336162624898	0.0297531106066145	0.117484776600691	151
SLC30A9	1.91854404736266	0.0550420625546081	0.182907265484963	140
SLTM	-0.354682617292921	0.72282737477882	0.903108874437066	95
SMAD1	-0.639129622800534	0.522738610511581	0.797942207917017	39
SMAD2	0.155193620623425	0.876668677363056	0.969719277426941	121
SMAD3	-1.12074669731056	0.262395698814154	0.544690300237608	86
SMAD4	-0.373078732081141	0.709089847154934	0.899845433777605	134
SMAD5	0.894581826620691	0.371010670233695	0.670840098486591	61
SMAD6	3.45025321425225	0.000560060968000552	0.0133014479900131	140
SMAD7	1.06193487665657	0.288265250579808	0.57935293656428	135
SMAD9	1.98693426257533	0.0469296821402579	0.161258375864929	123
SMARCA2	0.839037556927431	0.401448234546186	0.700973146687026	134
SMARCA4	-1.22756347489681	0.219610880115533	0.481890721992643	90
SMARCA5	0.02625129637745	0.979056901368548	0.992659926537704	125
SMARCB1	-3.13588455487776	0.00171336634833446	0.0185710513594641	80
SMARCC1	-1.70743552618601	0.0877411318834668	0.252588106937253	97
SMARCC2	-1.23462232946225	0.216971094661678	0.479354744019986	110
SMARCD1	-0.313606450472723	0.753819959767854	0.921589125681365	71
SMARCD2	-2.20174140006327	0.0276835805375994	0.111314595508956	64
SMARCD3	3.37928854377146	0.000726736894763507	0.0134125166064609	120
SMARCE1	3.08759437630911	0.00201783687695318	0.019456511552042	90
SNAI1	0.168877530621746	0.86589297329896	0.9673587474139	26
SNAI2	-3.56666468938526	0.000361553623627507	0.0120788543750063	199
SNAI3	1.83008889605867	0.0672366470683568	0.210848902942517	115
SOHLH2	0.273284208272973	0.784634753447595	0.933330730498678	33
SOX1	0.580365878506712	0.561667910191734	0.817201508972658	25
SOX10	-2.30044674551675	0.0214229230886874	0.0947890980499458	29
SOX11	1.51982776996471	0.128554267753781	0.335723554521458	27
SOX12	-0.81057621775792	0.417609078911963	0.714447735638581	104
SOX13	-1.8464425591011	0.0648279724907672	0.205403581163728	239
SOX14	-0.4589633810501	0.646260462750552	0.86912667221664	112
SOX15	-3.97752880463254	6.9635189517087e-05	0.0117818426196165	275
SOX17	1.80937739265534	0.0703923929071349	0.215718623425091	163
SOX18	2.27192543575078	0.0230910143154904	0.0984351034681338	109
SOX2	-3.77339888350449	0.000161038505378094	0.0117818426196165	162
SOX21	-3.76966861512013	0.000163464443651876	0.0117818426196165	90
SOX3	-0.0245522477951801	0.980412108543172	0.992705677302334	25
SOX30	-0.867060529308139	0.385908845673964	0.688239842748999	31
SOX4	-0.41215935634923	0.680222625141908	0.891687937990407	94
SOX5	-0.225040395135405	0.821947849350056	0.948108640270079	30
SOX6	-0.38201220877505	0.702452308890217	0.898884771744188	25
SOX7	-1.39012328014042	0.164491445117911	0.393561013133966	129
SOX8	1.74554132514791	0.0808906855639573	0.237524467610529	152
SOX9	-2.84884424020638	0.00438783563430732	0.0282324882446467	49
SP1	-0.0282015992016065	0.977501361754345	0.992659926537704	120
SP100	2.0428061156278	0.0410716349299304	0.146102842316823	90
SP110	3.09604168892605	0.0019612278556937	0.0190806204032851	124
SP140	1.44550807597187	0.148315226229084	0.369074099167906	244
SP2	-1.17692728050908	0.239224532380856	0.511099381456999	103
SP3	-0.379503509609518	0.704313998574068	0.898884771744188	133
SP4	0.55767402593088	0.577066997298335	0.824933611859023	171
SP5	-0.182701907767664	0.855031918775875	0.963626342514332	61
SP6	-2.1989426196766	0.0278820026110624	0.111314595508956	118
SP7	-0.451304354731211	0.651770206710711	0.872086896303065	20
SP8	-1.81768481419219	0.0691123200781483	0.212602660811828	78
SPAG8	1.67561580338976	0.0938134712957771	0.265804835338035	282
