TF	NES	p_value	FDR	regulon_size
SPIC	0.133688120626593	0.893649199201329	0.943450083367348	159
SPIN1	-1.62595716650927	0.103958767666172	0.229697233957871	50
SPIN2A	1.008530203906	0.313199995260319	0.474671992816751	136
SPIN2B	-2.89652656314577	0.00377318697510367	0.0243474128892202	74
SPIN3	0.105099517729028	0.916296841982222	0.957967980937979	37
SPIN4	2.50375621524563	0.0122882671628501	0.0550148678669392	52
SPINDOC	-2.89863914970031	0.0037478596172717	0.0243474128892202	74
SPTY2D1	0.302090137766335	0.762583350372421	0.859744462577629	69
SREBF1	-2.02170454929494	0.0432068836173078	0.128117802726104	47
SREBF2	-2.95454267492335	0.00313132843097853	0.0221937735782754	56
SRF	-3.01662493512337	0.00255605861479396	0.0202199165719646	36
SRY	-3.02801033087199	0.00246169671547812	0.0198292577947568	84
SS18	-1.63748337385913	0.101529510123362	0.226284725176905	28
SS18L1	0.0216926297440292	0.982693143003154	0.99043850767707	79
SS18L2	0.204918033184759	0.837636165738058	0.907366722667289	238
SSBP2	-2.95678489108173	0.00310864905235376	0.0221937735782754	59
SSBP3	-0.664834737305004	0.506156201795583	0.665549864314757	44
SSBP4	-0.105674765275994	0.91584040261349	0.957967980937979	76
ST18	1.54606954256273	0.122087773582901	0.253853236535178	175
STAT2	0.949416873171302	0.342408631989104	0.506556804808176	61
STAT3	2.16727102137516	0.0302141947673739	0.10238141066559	41
STAT4	2.31169409118248	0.0207945472487961	0.0790115035838421	63
STAT5A	1.5116717898037	0.130617378606159	0.265178480775175	43
STAT5B	0.763411255812063	0.4452181692645	0.606065451972832	33
STAT6	1.00623688532141	0.314301632837981	0.47598900132236	60
STOX1	1.0977450145411	0.272315847595924	0.434600798893339	118
STOX2	-3.06381552607987	0.00218533619723832	0.0188756242644912	31
SUB1	-1.97652032831367	0.0480958757032976	0.136862533642485	133
SUDS3	-2.07606368113395	0.0378880616599452	0.117809991118918	51
SUPT16H	-1.70162045855937	0.0888265398357373	0.207939474260776	42
SUPT20H	0.518738543574585	0.603943079526732	0.747982772827901	57
SUPT20HL1	0.335815279611045	0.737010167178228	0.843357271838174	373
SUPT20HL2	-0.357023297389908	0.721074364777406	0.832193647540384	281
SUPT4H1	1.6615489204151	0.0966032523505151	0.220041960745627	432
SUPT5H	-1.42091696463999	0.155340900494113	0.30173273278435	40
SUPT6H	0.106194703621173	0.915427873084015	0.957967980937979	32
TADA1	-0.723080253707377	0.469630580060501	0.630074863477892	106
TADA2A	-1.89586138871724	0.0579783757446448	0.15587878682463	62
TADA2B	3.2276403635079	0.00124815788241177	0.0148400683963599	54
TADA3	1.90289032151336	0.0570548581403574	0.154002954822126	145
TAF5L	-0.552970888069639	0.580283344834823	0.72742561177172	52
TAF7	0.478469464270695	0.632316102948378	0.771098743284954	132
TAL1	1.42797434313709	0.15329924348542	0.298818805534441	88
TAL2	-0.910221077262456	0.362705930650665	0.526309456816497	263
TBL1X	-2.86442181908789	0.00417771268800953	0.0249929829230044	29
TBL1XR1	-2.8779782408602	0.00400232744307998	0.0244617331085836	51
TBL1Y	-1.54715423709775	0.121826058029877	0.253824964082615	85
TBR1	-0.176074016863667	0.860235793539399	0.922937825685166	211
TBX1	-3.24929904989315	0.00115689784995165	0.0145272474904149	27
TBX10	0.275814953259909	0.782690198008177	0.871264496803444	291
TBX15	3.88500407071751	0.000102328173808844	0.0111506849976282	140
TBX18	-2.17190245387816	0.0298630213564498	0.101832902825494	49
TBX19	-0.286568902102453	0.774442428666644	0.864434920377498	119
TBX2	0.989908412672221	0.322218887169514	0.483682937013079	53
TBX20	-1.76924355562814	0.0768532384350192	0.188088188801494	94
TBX21	1.02163482260572	0.30695376982474	0.469945592556076	129
TBX22	0.57939796164567	0.562320679180172	0.71150779814634	221
TBX3	-3.5536600243531	0.000379909987714347	0.0111506849976282	75
TBX4	2.74265099136388	0.00609454232418837	0.0329008801986528	51
TBX5	1.74130748134911	0.0816296955284757	0.196256588779391	91
TBX6	-2.43803796249135	0.0147672231015958	0.0621681861437553	61
TBXT	4.03395541674565	5.48457283786638e-05	0.0111506849976282	131
TCEA1	-0.794569086184891	0.426864206791981	0.58891717268806	76
TCF12	-1.41327793603728	0.157574018807753	0.304722535425957	39
TCF15	-2.87780592836758	0.00400451412847044	0.0244617331085836	63
TCF20	-2.98735196622447	0.00281405540832658	0.0207854056513941	55
TCF21	2.70410173019412	0.0068489317494319	0.0355657724856286	268
TCF23	0.824293294172331	0.409772927941338	0.575031145794223	235
TCF24	-2.88977223165778	0.00385521042817788	0.0243474128892202	213
TCF3	-2.63870317284569	0.00832238143232668	0.0419398827845822	33
TCF4	-3.22045589689709	0.00127986883847102	0.0149645384390932	130
TCF7	-0.727472746021209	0.466936405001543	0.627695062176844	68
TCF7L1	-3.19333734101569	0.00140638545283447	0.01538751142513	67
TCF7L2	2.85766088820336	0.00426776217580169	0.0254572635909337	38
TCFL5	-0.598779432837992	0.549319979246159	0.699818603697161	21
TEAD1	1.79118808316825	0.0732631178823215	0.181034226071533	29
TEAD2	-0.885342854821134	0.37597174312512	0.541717032699996	45
TEAD3	-1.92136080473667	0.0546862363183845	0.151609809630643	44
TEAD4	-3.2397563210448	0.00119631888706544	0.0145694550174756	19
TEF	-1.99639586274362	0.0458908507977002	0.13372169506523	75
TERF2IP	0.805834786631546	0.420338117198507	0.583939715955145	42
TESMIN	-2.95622001237597	0.00311434848369268	0.0221937735782754	76
TET1	-1.98770190919611	0.046844667657225	0.134991816938989	37
TET2	-1.13736416168358	0.255386082677213	0.415357651158647	44
TET3	-3.4512825088608	0.000557929227649686	0.0116481959160332	236
TFAP2A	-3.34681537581672	0.000817456343983947	0.0133653137298839	43
TFAP2B	-3.20864833513505	0.00133360497152132	0.0153700731926051	53
TFAP2C	-3.58454920381554	0.000337660906605751	0.0111506849976282	49
TFAP2D	2.26591615703618	0.0234565171756747	0.0857000609668399	106
TFAP2E	1.6863811849471	0.091722403025712	0.212530052763994	101
TFAP4	-3.08279546746749	0.00205066044563335	0.0182419620511558	58
TFCP2	-2.58427049408784	0.00975852273258661	0.0474435790038094	33
TFCP2L1	3.43120851402981	0.000600898523522596	0.0118046470220866	60
TFDP1	-1.87249178963083	0.0611385967339685	0.161339808795596	43
TFDP2	-3.05367665206387	0.00226055587322475	0.0190966101322193	56
TFDP3	-0.164073006284915	0.86967367167769	0.927228938120143	211
TFE3	-0.302175053187368	0.762518620531894	0.859744462577629	30
TFEB	2.81667901831345	0.00485229927879127	0.0274593565947372	58
TFEC	1.6165265731741	0.105980512860644	0.231168581357012	288
TGIF1	-1.98707737885125	0.0469138226194428	0.135000957917553	57
TGIF2	-2.35159145186941	0.0186932938461347	0.0731290233445347	16
TGIF2LX	-1.34267538554824	0.179377108325747	0.330308093083334	156
TGIF2LY	-2.14369967204978	0.0320569585033206	0.106147548229937	234
THAP1	-0.365454346564447	0.714772279655723	0.82950883957777	110
THAP11	-2.58327559561576	0.00978671106087059	0.0474435790038094	52
THAP7	-2.19057688720894	0.0284824252245623	0.0988981274528953	132
THRA	1.91203886977702	0.0558712086388429	0.153043517419899	50
THRAP3	0.427890164345463	0.66873108829225	0.800281641968315	45
