cohort	endpoint	model	TF	n	events	beta	HR	lower95	upper95	p_value	model_likelihood_p	FDR	log2_HR	log2_lower95	log2_upper95	direction	nominal_significant	FDR_significant
GSE41271_LUAD	RFS	univariable	NCOA7	177	69	-0.0299202304717898	0.970522948618514	0.604917414394004	1.55709650835357	0.901277709751029	0.901258432236121	0.931320300076063	-0.0431657681239061	-0.725189901222393	0.638858364974581	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	NCOA7	177	69	-0.0239810887103134	0.976304172754362	0.59283596021745	1.60781379960143	0.924934692563953	0.000463688236593317	0.978208390057284	-0.0345973977574874	-0.75429513365742	0.685100338142445	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	NFATC4	177	69	0.0788377442383363	1.08202874242855	0.67377596255286	1.73764910669347	0.744273503749842	0.744164098639951	0.854536245046115	0.11373882264752	-0.569659134703696	0.797136779998736	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	NFATC4	177	69	0.0168940536908758	1.01703756524083	0.620037660074568	1.66822997329969	0.946653280700598	0.000464529892405893	0.978208390057284	0.0243729674803385	-0.689572249786612	0.738318184747289	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	NR3C2	177	69	-0.280048177908702	0.755747330252746	0.4710880552265	1.21241458119659	0.24553550470204	0.245348410394221	0.677582291045728	-0.404024117478874	-1.0859313429791	0.27788310802135	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	NR3C2	177	69	-0.237037830026336	0.788961441020965	0.477757942260594	1.30287767163556	0.354350934538298	0.000326633252619781	0.855515978709734	-0.341973301882077	-1.06564823808498	0.381701634320831	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	PHC2	177	69	0.271441810248067	1.31185453314559	0.816155047451577	2.10862178884794	0.262289919114475	0.260828095574918	0.677582291045728	0.39160775353481	-0.29308484349822	1.07630035056784	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	PHC2	177	69	0.241791912261613	1.2735291594395	0.779554352785097	2.08051755999851	0.334282076867357	0.000315761357184523	0.855515978709734	0.348831992746889	-0.359278479584813	1.05694246507859	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	WWC2	177	69	-0.148372139912073	0.862110229613584	0.537218943111049	1.38348443876588	0.538662319618069	0.538407450000371	0.759024177643642	-0.214055750457231	-0.896417917727124	0.468306416812662	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	WWC2	177	69	-0.115583741786764	0.89084596808028	0.547199920326762	1.45030455847104	0.642050748638461	0.00042571028206924	0.868034904542041	-0.166752091083155	-0.869860074722384	0.536355892556074	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	XBP1	177	69	-0.235971789935243	0.789802954011018	0.491188336088176	1.26995830384	0.330172379341609	0.328797539172883	0.703815851564852	-0.340435331129267	-1.02565179246009	0.344781130201556	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	XBP1	177	69	-0.24532846037132	0.782447493035497	0.477108726373584	1.28319614694734	0.331046889387588	0.000314206924063508	0.855515978709734	-0.353934153166627	-1.06761002126529	0.359741714932033	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ZBTB18	177	69	-0.428135798949849	0.651722905502974	0.403917373778428	1.05155849470896	0.0794301099349266	0.0771598178869237	0.351761915426103	-0.617669393971981	-1.30786789258267	0.0725291046387052	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ZBTB18	177	69	-0.46425272036798	0.628604673187354	0.375885674483873	1.05123409051316	0.0768069973899283	0.000124052177614521	0.442268252557284	-0.669775097394096	-1.41163416153596	0.0720839667477705	Favorable	FALSE	FALSE
