component	eligibility_required	anchor_program	left_run	left_k	left_program	right_run	right_k	right_program	expected_right_program	connects_expected_program	cosine	top_gene_jaccard	cosine_null_q99	jaccard_null_q99	exceeds_both_nulls	component_pass	source_file
adjacent_K9_descriptive	False	5	seed_20260812	9.0	7.0	seed_20260812	10.0	5.0		True	0.9914194648126936	0.8518518518518519	0.043335381820764	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K11_descriptive	False	5	seed_20260812	10.0	5.0	seed_20260812	11.0	6.0		True	0.999171081971662	1.0	0.0421526941309638	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cross_seed	True	6	seed_20260812	10.0	6.0	seed_20260813	10.0	5.0		True	0.9999835054585012	1.0	0.0415525974274892	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cell_resample	True	6	seed_20260812	10.0	6.0	cell_resample_20260813	10.0	4.0		True	0.9919464912694544	0.9230769230769232	0.0445423284711832	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_A	True	6	seed_20260812	10.0	6.0	patient_holdout_A	10.0	3.0		True	0.9472171416606704	0.5873015873015873	0.0393141266082818	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_B	True	6	seed_20260812	10.0	6.0	patient_holdout_B	10.0	1.0		True	0.1405531502134306	0.0101010101010101	0.0303334754263743	0.0101010101010101	False	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
exclude_high_unresolved	True	6	primary_seed_20260812	10.0	6.0	exclude_high_unresolved	10.0	1.0		True	0.1252351787655975	0.0101010101010101	0.0390430173505663	0.0102040816326529	False	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
include_one_method	True	6	primary_seed_20260812	10.0	6.0	include_one_method	10.0	5.0		True	0.9891189477110824	0.8181818181818182	0.0355291457260045	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
holdout_A_to_B_bridge	True	6	patient_holdout_A	10.0	3.0	patient_holdout_B	10.0	4.0	1.0	False	0.2464134701767429	0.0309278350515463	0.0286751484030765	0.0101010101010101	True	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K9_descriptive	False	6	seed_20260812	9.0	6.0	seed_20260812	10.0	6.0		True	0.9992950433272068	0.9607843137254902	0.043335381820764	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
